,id,catering,transportation,entertainment,healthcare
0,Census Tract 8424,7,2,0,0
1,Census Tract 8403,3,0,0,0
2,Census Tract 8411,51,4,3,1
3,Census Tract 8412,7,2,0,2
4,Census Tract 8390,13,2,3,2
5,Census Tract 8382,12,1,0,1
6,Census Tract 6503.01,1,2,0,0
7,Census Tract 5305.03,0,0,0,0
8,Census Tract 7608.03,1,0,0,0
9,Census Tract 306.01,0,0,0,0
10,Census Tract 306.04,0,0,0,0
11,Census Tract 208.01,2,1,1,0
12,Census Tract 5401.02,0,0,0,0
13,Census Tract 8433,2,0,0,1
14,Census Tract 5401.01,0,0,0,0
15,Census Tract 4402.01,0,0,0,0
16,Census Tract 802.02,6,1,3,1
17,Census Tract 701.02,11,3,1,3
18,Census Tract 315.01,0,3,0,0
19,Census Tract 315.02,6,2,1,0
20,Census Tract 8349,1,0,0,0
21,Census Tract 8348,1,0,0,1
22,Census Tract 1605.02,1,0,2,0
23,Census Tract 1407.02,4,0,0,0
24,Census Tract 8420,5,7,1,0
25,Census Tract 1504.02,3,2,0,0
26,Census Tract 8344,1,0,0,0
27,Census Tract 402.01,13,0,2,1
28,Census Tract 402.02,3,0,2,0
29,Census Tract 207.02,2,0,0,0
30,Census Tract 208.02,9,0,1,0
31,Census Tract 203.01,0,0,0,0
32,Census Tract 8387,1,0,0,1
33,Census Tract 206.01,2,0,0,0
34,Census Tract 8415,0,0,0,0
35,Census Tract 8386,0,0,0,0
36,Census Tract 8373,0,0,0,1
37,Census Tract 206.02,3,0,0,0
38,Census Tract 633.01,8,0,2,1
39,Census Tract 8378,6,0,1,0
40,Census Tract 8374,0,0,0,0
41,Census Tract 8369,0,0,0,0
42,Census Tract 203.02,0,0,0,0
43,Census Tract 209.02,2,0,0,0
44,Census Tract 107.01,0,1,0,0
45,Census Tract 301.03,4,0,1,0
46,Census Tract 633.03,1,0,0,0
47,Census Tract 301.02,7,2,1,0
48,Census Tract 105.02,8,0,1,0
49,Census Tract 105.03,10,1,2,1
50,Census Tract 107.02,12,0,1,0
51,Census Tract 8371,1,1,0,0
52,Census Tract 8370,0,0,0,0
53,Census Tract 102.01,0,0,1,0
54,Census Tract 209.01,5,3,1,0
55,Census Tract 404.01,1,2,1,1
56,Census Tract 2106.02,11,0,4,2
57,Census Tract 1605.01,0,0,1,0
58,Census Tract 1913.02,0,1,0,0
59,Census Tract 1906.02,0,5,0,0
60,Census Tract 8402,3,1,1,1
61,Census Tract 5305.01,0,1,1,0
62,Census Tract 207.01,3,0,0,0
63,Census Tract 8314,2,1,0,0
64,Census Tract 8313,0,0,0,1
65,Census Tract 105.01,1,0,1,0
66,Census Tract 8330,100,5,18,1
67,Census Tract 7608.01,0,1,0,0
68,Census Tract 2521.01,2,0,1,0
69,Census Tract 2521.02,0,0,0,0
70,Census Tract 2522.02,0,0,0,0
71,Census Tract 2206.01,8,0,1,3
72,Census Tract 2105.02,2,0,3,0
73,Census Tract 2206.02,11,4,4,0
74,Census Tract 2209.01,1,0,1,1
75,Census Tract 2209.02,5,1,0,0
76,Census Tract 2004.01,0,0,0,0
77,Census Tract 2004.02,0,0,2,0
78,Census Tract 1913.01,0,1,0,0
79,Census Tract 1906.01,0,6,0,0
80,Census Tract 1907.01,0,6,0,0
81,Census Tract 1907.02,0,0,0,0
82,Census Tract 1904.01,1,1,1,1
83,Census Tract 1904.02,0,4,2,0
84,Census Tract 8321,9,37,1,0
85,Census Tract 8438,2,0,0,0
86,Census Tract 8428,3,1,0,2
87,Census Tract 3515,2,0,0,0
88,Census Tract 9801,19,146,4,0
89,Census Tract 8333,8,0,1,0
90,Census Tract 8329,1,1,1,1
91,Census Tract 8380,1,0,0,0
92,Census Tract 8381,5,1,2,0
93,Census Tract 307.06,2,2,0,0
94,Census Tract 3815,1,0,0,0
95,Census Tract 8331,24,0,6,0
96,Census Tract 8391,191,122,28,6
97,Census Tract 812.01,30,0,3,1
98,Census Tract 1504.01,4,0,2,2
99,Census Tract 1505.01,0,0,0,0
100,Census Tract 8430,4,0,0,1
101,Census Tract 8429,5,0,0,2
102,Census Tract 8421,0,0,0,0
103,Census Tract 8419,35,6,1,2
104,Census Tract 802.01,2,0,0,1
105,Census Tract 701.01,11,8,3,0
106,Census Tract 812.02,7,0,2,0
107,Census Tract 404.02,8,5,1,1
108,Census Tract 2207.02,1,2,1,0
109,Census Tract 1403.01,2,0,0,0
110,Census Tract 8422,17,5,9,1
111,Census Tract 8437,6,0,2,1
112,Census Tract 8350,2,0,0,0
113,Census Tract 8423,12,2,6,0
114,Census Tract 2302,2,0,2,0
115,Census Tract 8351,0,0,0,0
116,Census Tract 8347,0,0,0,1
117,Census Tract 1510.01,0,0,0,0
118,Census Tract 1510.02,2,0,0,0
119,Census Tract 1606.02,4,0,5,0
120,Census Tract 1406.01,5,0,0,0
121,Census Tract 1407.01,6,2,0,0
122,Census Tract 1406.02,1,0,0,0
123,Census Tract 3905,0,0,0,0
124,Census Tract 8418,0,0,1,0
125,Census Tract 8425,0,1,0,0
126,Census Tract 8426,4,0,3,1
127,Census Tract 8435,1,0,0,2
128,Census Tract 8434,0,0,0,0
129,Census Tract 1403.02,0,0,0,0
130,Census Tract 1105.01,0,0,0,0
131,Census Tract 3904,0,0,0,0
132,Census Tract 8432,0,1,1,0
133,Census Tract 8408,1,0,0,1
134,Census Tract 1105.02,6,3,2,2
135,Census Tract 7608.02,1,0,0,0
136,Census Tract 1505.02,7,2,0,0
137,Census Tract 8431,0,0,0,0
138,Census Tract 8343,4,0,0,0
139,Census Tract 8439,0,2,0,0
140,Census Tract 8312,1,0,0,0
141,Census Tract 8316,1,1,3,0
142,Census Tract 8315,7,2,0,0
143,Census Tract 8311,5,8,8,0
144,Census Tract 8317,0,4,1,0
145,Census Tract 2715,0,0,0,0
146,Census Tract 4402.02,3,0,0,0
147,Census Tract 4401.02,0,0,0,0
148,Census Tract 4301.02,2,0,0,0
149,Census Tract 307.02,0,0,0,0
150,Census Tract 306.03,3,0,0,0
151,Census Tract 307.01,1,1,0,1
152,Census Tract 8363,0,0,0,0
153,Census Tract 8383,7,0,0,0
154,Census Tract 8398,5,0,0,0
155,Census Tract 8366,5,0,0,0
156,Census Tract 7302.02,0,0,0,0
157,Census Tract 4301.01,1,0,1,0
158,Census Tract 633.02,3,2,0,2
159,Census Tract 8362,18,1,0,0
160,Census Tract 714,17,5,2,0
161,Census Tract 8401,0,0,0,0
162,Census Tract 5805.02,0,0,0,0
163,Census Tract 8414,0,1,1,0
164,Census Tract 814.01,24,0,2,3
165,Census Tract 814.03,49,4,7,3
166,Census Tract 307.03,1,0,1,0
167,Census Tract 8360,1,0,0,0
168,Census Tract 8358,0,0,0,0
169,Census Tract 8359,1,2,0,0
170,Census Tract 8345,1,0,0,0
171,Census Tract 8436,3,0,0,0
172,Census Tract 5805.01,0,0,0,0
173,Census Tract 8346,1,1,0,0
174,Census Tract 8318,7,0,0,0
175,Census Tract 716,0,0,1,0
176,Census Tract 8326,26,1,3,2
177,Census Tract 619.01,11,0,3,1
178,Census Tract 8399,2,1,1,0
179,Census Tract 301.04,1,0,0,0
180,Census Tract 7706.02,16,28,2,0
181,Census Tract 8397,4,1,2,0
182,Census Tract 8352,1,0,2,1
183,Census Tract 8339,3,0,0,0
184,Census Tract 8368,3,3,1,1
185,Census Tract 8388,2,0,0,0
186,Census Tract 8367,1,1,3,0
187,Census Tract 8322,10,0,5,0
188,Census Tract 2522.01,1,0,0,0
189,Census Tract 8310,7,3,1,0
190,Census Tract 8324,9,0,2,0
191,Census Tract 701.03,6,0,1,1
192,Census Tract 2207.01,3,0,0,1
193,Census Tract 8416,0,1,1,0
194,Census Tract 7709.02,5,0,1,0
195,Census Tract 6603.01,0,0,0,0
196,Census Tract 6603.02,0,0,0,0
197,Census Tract 3018.02,0,0,1,0
198,Census Tract 8340,0,1,0,0
199,Census Tract 8342,0,0,0,0
200,Census Tract 7302.01,0,1,0,0
201,Census Tract 8355,1,1,0,0
202,Census Tract 8395,1,0,0,0
203,Census Tract 8392,0,2,0,0
204,Census Tract 5305.02,0,0,0,0
205,Census Tract 8404,4,0,0,0
206,Census Tract 8410,4,3,3,0
207,Census Tract 301.01,1,1,1,0
208,Census Tract 7003.02,0,0,0,0
209,Census Tract 7004.02,3,1,0,0
210,Census Tract 7004.01,0,1,1,0
211,Census Tract 8305,0,0,0,0
212,Census Tract 8417,0,0,0,0
213,Census Tract 6401,3,2,1,0
214,Census Tract 8407,2,1,0,0
215,Census Tract 8413,9,0,0,0
216,Census Tract 3018.01,0,0,0,0
217,Census Tract 608,3,14,0,2
218,Census Tract 8323,8,3,4,0
219,Census Tract 8325,20,0,10,1
220,Census Tract 8320,12,10,8,1
221,Census Tract 1606.01,0,0,0,0
222,Census Tract 2105.01,4,2,1,0
223,Census Tract 2106.01,2,1,0,0
224,Census Tract 813,20,0,4,0
225,Census Tract 7005.02,0,0,0,0
226,Census Tract 8361,2,1,0,0
227,Census Tract 8357,0,0,0,0
228,Census Tract 611,12,0,6,0
229,Census Tract 8364,0,0,1,0
230,Census Tract 8365,0,0,0,1
231,Census Tract 8396,0,0,0,0
232,Census Tract 8400,0,0,1,0
233,Census Tract 8356,1,1,0,1
234,Census Tract 8308,10,1,3,0
235,Census Tract 4603.01,1,0,0,0
236,Census Tract 3017.01,0,0,0,0
237,Census Tract 3104,2,0,2,0
238,Census Tract 5301,0,0,0,0
239,Census Tract 811,15,0,4,0
240,Census Tract 1507,1,0,1,0
241,Census Tract 3017.02,1,0,0,0
242,Census Tract 7003.01,3,0,0,0
243,Census Tract 4909.02,1,0,0,0
244,Census Tract 618,7,2,3,1
245,Census Tract 4909.01,0,1,0,0
246,Census Tract 6503.02,0,0,0,0
247,Census Tract 8319,8,13,4,0
248,Census Tract 8306,6,0,3,1
249,Census Tract 8309,15,0,2,0
250,Census Tract 8307,17,13,2,0
251,Census Tract 3009,3,0,0,0
252,Census Tract 7005.01,1,0,0,0
253,Census Tract 4603.02,0,0,0,0
254,Census Tract 4313.02,3,1,1,0
255,Census Tract 2229,0,3,1,0
256,Census Tract 4313.01,0,1,0,0
257,Census Tract 4401.01,0,0,0,0
258,Census Tract 3018.03,0,0,0,0
259,Census Tract 3102,1,0,6,0
260,Census Tract 3103,4,0,1,0
261,Census Tract 3105,5,0,1,0
262,Census Tract 5103,3,0,0,0
263,Census Tract 4914,0,2,0,0
264,Census Tract 5002,5,0,0,1
265,Census Tract 5302,1,0,0,0
266,Census Tract 7401,1,0,0,1
267,Census Tract 1405,0,3,0,0
268,Census Tract 1408,3,1,3,0
269,Census Tract 3011,1,0,0,0
270,Census Tract 1502,9,10,6,9
271,Census Tract 1503,1,0,1,0
272,Census Tract 3012,0,0,0,0
273,Census Tract 7404,0,0,0,0
274,Census Tract 204,4,0,1,0
275,Census Tract 6403,3,1,0,0
276,Census Tract 6406,0,0,1,0
277,Census Tract 104,7,0,2,0
278,Census Tract 718,11,0,3,0
279,Census Tract 1603,4,0,2,0
280,Census Tract 3107,5,0,0,1
281,Census Tract 715,12,3,8,1
282,Census Tract 717,0,1,2,0
283,Census Tract 6712,0,0,0,0
284,Census Tract 6705,0,0,0,0
285,Census Tract 6706,0,0,0,0
286,Census Tract 6707,0,0,0,0
287,Census Tract 6708,0,0,0,0
288,Census Tract 6709,0,0,0,0
289,Census Tract 6711,0,1,0,0
290,Census Tract 6713,0,0,0,0
291,Census Tract 6714,0,0,0,0
292,Census Tract 6715,1,0,0,0
293,Census Tract 6716,0,0,0,0
294,Census Tract 6701,0,0,0,0
295,Census Tract 2305,2,0,0,0
296,Census Tract 2306,0,0,0,0
297,Census Tract 2406,1,0,0,1
298,Census Tract 2410,3,0,1,0
299,Census Tract 1910,2,1,0,0
300,Census Tract 803,30,0,8,1
301,Census Tract 3008,0,0,0,1
302,Census Tract 6502,0,0,0,0
303,Census Tract 6605,0,0,0,0
304,Census Tract 2214,9,3,5,0
305,Census Tract 1610,6,2,1,0
306,Census Tract 3406,0,0,0,0
307,Census Tract 2405,2,3,1,0
308,Census Tract 2407,0,0,0,0
309,Census Tract 2408,5,0,0,0
310,Census Tract 2409,4,0,1,0
311,Census Tract 2411,7,0,1,0
312,Census Tract 1903,4,4,0,0
313,Census Tract 1908,2,11,0,0
314,Census Tract 1909,0,2,0,0
315,Census Tract 1911,0,2,0,0
316,Census Tract 1912,0,2,0,0
317,Census Tract 801,1,0,0,1
318,Census Tract 804,6,2,0,1
319,Census Tract 810,9,0,1,0
320,Census Tract 1506,3,4,2,2
321,Census Tract 3016,0,0,0,0
322,Census Tract 205,7,0,0,0
323,Census Tract 8214.02,1,0,0,0
324,Census Tract 7503,2,0,2,0
325,Census Tract 6408,0,0,0,0
326,Census Tract 7501,1,0,0,1
327,Census Tract 7402,1,0,1,0
328,Census Tract 6504,0,0,0,0
329,Census Tract 6505,8,0,0,1
330,Census Tract 6606,2,0,1,0
331,Census Tract 2211,8,0,3,2
332,Census Tract 2213,15,0,11,2
333,Census Tract 2215,9,0,2,0
334,Census Tract 201,2,0,1,0
335,Census Tract 2216,4,0,2,0
336,Census Tract 1608,3,2,2,0
337,Census Tract 1609,0,1,0,0
338,Census Tract 2228,0,0,0,0
339,Census Tract 1611,3,3,0,0
340,Census Tract 1612,1,0,0,0
341,Census Tract 1613,4,4,4,0
342,Census Tract 6501,1,0,0,0
343,Census Tract 3302,5,1,0,0
344,Census Tract 4206,2,0,0,0
345,Census Tract 4207,1,0,0,0
346,Census Tract 6610,0,0,1,0
347,Census Tract 8233.04,4,0,1,0
348,Census Tract 101,1,0,0,0
349,Census Tract 2303,0,2,1,0
350,Census Tract 6404,0,0,0,0
351,Census Tract 6405,1,0,0,0
352,Census Tract 6407,1,0,0,0
353,Census Tract 1512,1,0,1,0
354,Census Tract 3108,9,1,2,2
355,Census Tract 6604,0,0,0,0
356,Census Tract 6704,0,0,0,0
357,Census Tract 3404,5,0,0,0
358,Census Tract 4208,1,0,2,0
359,Census Tract 4212,0,0,0,0
360,Census Tract 6611,0,0,0,0
361,Census Tract 2225,2,0,1,0
362,Census Tract 1902,3,1,0,0
363,Census Tract 3906,0,0,0,0
364,Census Tract 103,2,1,1,0
365,Census Tract 106,7,3,7,0
366,Census Tract 202,1,1,1,0
367,Census Tract 1508,6,0,2,6
368,Census Tract 1511,1,0,0,0
369,Census Tract 2301,0,0,1,0
370,Census Tract 1601,2,2,2,1
371,Census Tract 1602,0,0,5,0
372,Census Tract 1604,4,0,3,0
373,Census Tract 3106,18,0,6,0
374,Census Tract 3109,3,7,1,0
375,Census Tract 3204,60,51,10,4
376,Census Tract 615,5,17,1,0
377,Census Tract 3206,27,1,3,2
378,Census Tract 7403,1,0,0,0
379,Census Tract 6607,0,0,0,0
380,Census Tract 2227,7,0,2,0
381,Census Tract 2212,3,0,0,1
382,Census Tract 1607,8,0,0,0
383,Census Tract 2222,7,2,2,0
384,Census Tract 3405,4,1,3,0
385,Census Tract 3301,24,11,14,2
386,Census Tract 3403,2,0,0,0
387,Census Tract 3504,0,1,0,0
388,Census Tract 7505,6,1,2,0
389,Census Tract 7504,0,0,1,0
390,Census Tract 7502,3,2,0,0
391,Census Tract 4302,3,1,0,0
392,Census Tract 6608,0,0,0,0
393,Census Tract 6609,0,0,0,0
